"X","Y","OBJECTID","PID","SSL","PMPROPERTYID","UBID","PROPERTYNAME","PMPARENTPROPERTYID","PARENTPROPERTYNAME","ADDRESSOFRECORD","OWNEROFRECORD","WARD","REPORTEDADDRESS","CITY","STATE","POSTALCODE","YEARBUILT","PRIMARYPROPERTYTYPE_EPACALC","TAXRECORDFLOORAREA","REPORTEDBUILDINGGROSSFLOORAREA","BEPS","BEPS_METRIC_TYPE","BEPS_PROPERTY_GROUP","PROPERTY_BEPS_METRIC_YEAR","PROPERTY_BEPS_METRIC","MEETS_BEPS","DISTANCE_FROM_BEPS_ESTIMATED","PERFORMANCE_REQUIREMENT_EST","LATITUDE","LONGITUDE","XCOORD","YCOORD","MAR_ID","GIS_ID","GLOBALID","LASTUPDATE"
-77.0437243278568,38.8965806291226,106815,DC01220031,0122    0031,,,,,,514 19TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,,WASHINGTON,DC,,,,97233,,,,,,,Under Review,,,38.89657284,-77.04372203,396207.20007909,136525.76763961,279818,,{DF9A5348-F30E-29BB-E053-792F520AEC22},
-77.0111007886669,38.896817358868,106843,DC06280893,0628    0893,,,,,,525 NEW JERSEY AVE NW,OPERATING ENGINEERS FUND,6,,WASHINGTON,DC,,,,275396,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.89680957,-77.0110985,399037.23016198,136551.19680824,279827,,{DF9A5348-F32A-29BB-E053-792F520AEC22},
-76.9972696748561,38.9533486571637,106887,DC37570802,3757    0802,,,,,,5171 SOUTH DAKOTA AVENUE NE,DISTRICT OF COLUMBIA,5,,WASHINGTON,DC,,,,122928,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.95334086,-76.99726739,400236.85990547,142826.59720951,294607,,{DF9A5348-F356-29BB-E053-792F520AEC22},
-77.055673217061,38.9714990489048,107435,PM18933141,2339    0003,18933141,,Knollwood-Senior Care Community,,,6200 OREGON AVE NW,ARMY DISTAFF FOUNDATION INC,4,6200 Oregon Ave NW,WASHINGTON,DC,20015,2021,Senior Living Community,302511,391000,,,,,,Under Review,,,38.97149125,-77.05567091,395175.73015681,144842.92717958,260445,,{DF9A5348-F57A-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
-77.0210980999227,38.915287811165,106828,DC04410090,0441    0090,,,,,,620 T STREET NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY,1,,WASHINGTON,DC,,,,25600,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91528002,-77.02109581,398170.45990301,138601.71992534,238442,,{DF9A5348-F31B-29BB-E053-792F520AEC22},
-77.0082869125526,38.8742637805607,106848,DC07050804,0705    0804,,,,,,1500 S CAPITOL ST SE,DISTRICT OF COLUMBIA,6,,WASHINGTON,DC,,,,1200000,,,,,,,Under Review,,,38.874256,-77.00828463,399281.0998269,134047.550237,303109,,{DF9A5348-F32F-29BB-E053-792F520AEC22},
-77.0084210565606,38.9504515952532,106880,DC36890002,3689    0002,,,,,,4931 NORTH CAPITOL STREET NE,NORTHWOOD GARDEN APARTMENTS,5,,WASHINGTON,DC,,,,9664,,,,,,,Under Review,,,38.9504438,-77.00841877,399270.2397675,142505.02731062,288354,,{DF9A5348-F34F-29BB-E053-792F520AEC22},
-76.9969810158444,38.8853848960272,106851,DC08730831,0873    0831,,,,,,650 PENNSYLVANIA AVE SE,644-654 PENNSYLVANIA AVENUE ASSOCIATES,6,,WASHINGTON,DC,,,,112703,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.88537711,-76.99697873,400262.13035914,135282.04992602,280033,,{DF9A5348-F332-29BB-E053-792F520AEC22},
-77.0168417040109,38.8963923781314,106832,DC0488E0800,0488E   0800,,,,,,409 E STREET NW,DISTRICT OF COLUMIBA,2,,WASHINGTON,DC,,,,83593,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.89638459,-77.01683942,398539.20960525,136504.09685684,301242,,{DF9A5348-F31F-29BB-E053-792F520AEC22},
-77.024631737489,38.8797550673418,106830,DC04730930,0473    0930,,,,,,800 MAINE AVE SW,WHARF 1 OFFICE REIT LEASEHOLDER LLC,6,,WASHINGTON,DC,,,,13568,,,,,,,Under Review,,,38.87974728,-77.02462945,397862.93978447,134657.3795397,302922,,{DF9A5348-F31D-29BB-E053-792F520AEC22},
-77.0032132832145,38.8239017689183,106921,DC62040802,6204    0802,,,,,,4600 LIVINGSTON RD SE,DISTRICT OF COLUMBIA,8,,WASHINGTON,DC,,,,327156,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.823894,-77.003211,399721.1682875,128456.98542148,294600,,{DF9A5348-F378-29BB-E053-792F520AEC22},
-76.994816410693,38.9210387809851,106889,DC38480825,3848    0825,,,,,,2350 WASHINGTON PLACE NE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,5,,WASHINGTON,DC,,,,94039,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92103099,-76.99481413,400449.70978201,139239.92718278,306519,,{DF9A5348-F358-29BB-E053-792F520AEC22},
-77.00793329886,38.9504458640821,106881,DC36890003,3689    0003,,,,,,4941 NORTH CAPITOL STREET NE,NORTHWOOD GARDEN APARTMENTS,5,,WASHINGTON,DC,,,,9664,,,,,,,Under Review,,,38.95043807,-77.00793101,399312.51998003,142504.3874425,288366,,{DF9A5348-F350-29BB-E053-792F520AEC22},
-77.0360660396387,38.9047621958764,107961,PM3990120,0197    0840,3990120,,The University club,,,1125 16TH ST NW,UNIVERSITY CLUB DC INC,2,1135 16th street nw,WASHINGTON,DC,20036,1904,Hotel,79330,79330,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.90475441,-77.03606374,396871.90039736,137433.6972147,242330,,{DF9A5348-F788-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
